ÿÜbersicht über die Schätzung
Vorabkosten,Monatliche Kosten,Total 12 months cost,Währung
1.33,8819.66,105837.25,USD
,,* Einschließlich Vorabkosten


Detaillierte Schätzung
Gruppenhierarchie,Region,Beschreibung,Service,Vorauszahlung,Monatlich,First 12 months total,Währung,Status,Konfigurationsübersicht
My Estimate,USA Ost (Nord-Virginia),,VPN Connection,0,2492,29904.00,USD,,"Werktage pro Monat (22), Anzahl der Site-to-Site VPN-Verbindungen (), Anzahl der Subnetzzuordnungen (4)"
My Estimate,USA Ost (Nord-Virginia),,Network Address Translation (NAT) Gateway,0,493.65,5923.80,USD,,Anzahl der NAT-Gateways (1)
My Estimate,USA Ost (Nord-Virginia),,Gateway Load Balancer,0,220.77,2649.24,USD,,"Anzahl der Availability Zones, in denen der Gateway Load Balancer bereitgestellt wird (2), Anzahl der Gateway-Load-Balancer-Endpunkte (2), Insgesamt verarbeitete Bytes (10 TB pro Monat), Durchschnittliche Anzahl der neuen Verbindungen/Datenflüsse (1250 pro Sekunde), Durchschnittliche Verbindungs-/Datenflussdauer (2500 Sekunden)"
My Estimate,USA Ost (Nord-Virginia),,Amazon CloudFront,0,487.23,5846.76,USD,,"Datenübertragung ins Internet (100 GB pro Monat), Ausgehende Datenübertragung zum Ursprungsserver (100 GB pro Monat), Anzahl der Anforderungen (HTTPS) (100 Millionen pro Monat), Datenübertragung ins Internet (100 GB pro Monat), Ausgehende Datenübertragung zum Ursprungsserver (100 GB pro Monat), Anzahl der Anforderungen (HTTPS) (50 Millionen pro Monat), Datenübertragung ins Internet (100 GB pro Monat), Ausgehende Datenübertragung zum Ursprungsserver (100 GB pro Monat), Anzahl der Anforderungen (HTTPS) (50 Millionen pro Monat), Datenübertragung ins Internet (10 GB pro Monat), Ausgehende Datenübertragung zum Ursprungsserver (10 GB pro Monat), Anzahl der Anforderungen (HTTPS) (5 Millionen pro Monat), Datenübertragung ins Internet (10 GB pro Monat), Ausgehende Datenübertragung zum Ursprungsserver (10 GB pro Monat), Anzahl der Anforderungen (HTTPS) (5 Millionen pro Monat), Datenübertragung ins Internet (10 GB pro Monat), Ausgehende Datenübertragung zum Ursprungsserver (10 GB pro Monat), Anzahl der Anforderungen (HTTPS) (5 Millionen pro Monat), Datenübertragung ins Internet (100 GB pro Monat), Ausgehende Datenübertragung zum Ursprungsserver (100 GB pro Monat), Anzahl der Anforderungen (HTTPS) (50 Millionen pro Monat), Datenübertragung ins Internet (10 GB pro Monat), Ausgehende Datenübertragung zum Ursprungsserver (10 GB pro Monat), Anzahl der Anforderungen (HTTPS) (5 pro Monat), Datenübertragung ins Internet (100 GB pro Monat), Ausgehende Datenübertragung zum Ursprungsserver (100 GB pro Monat), Anzahl der Anforderungen (HTTPS) (50 Millionen pro Monat)"
My Estimate,USA Ost (Nord-Virginia),,S3 Standard,1.32829,140.54,1687.81,USD,,"S3-Standardspeicher (2 TB pro Monat), S3 Standard  Durchschnittliche Objektgröße (150 MB), PUT-, COPY-, POST-, LIST-Anfragen an S3 Standard (10000000), GET, SELECT und alle anderen Anforderungen von S3 Standard (100000000), Von S3 Select zurückgegebene Daten (2 TB pro Monat), Von S3 Select gescannte Daten (1000 GB pro Monat)"
My Estimate,USA Ost (Nord-Virginia),,Data Transfer,0,92.16,1105.92,USD,,"DT Eingehend: Internet (10 TB pro Monat), DT Ausgehend: Internet (1 TB pro Monat)"
My Estimate,USA Ost (Nord-Virginia),,Amazon EC2 ,0,331.128,3973.54,USD,,"Tenancy (Gemeinsame Instances), Betriebssystem (Linux), Workload (Consistent, Anzahl der Instances: 2), Erweiterte EC2-Instance (m6g.2xlarge), Pricing strategy (Compute Savings Plans 1yr  No Upfront), Überwachung aktivieren (deaktiviert), DT Eingehend: Not selected (0 TB pro Monat), DT Ausgehend: Not selected (0 TB pro Monat), DT Intraregional: (0 TB pro Monat)"
My Estimate,USA Ost (Nord-Virginia),,Amazon API Gateway,0,103.5,1242.00,USD,,"REST-API-Anforderungseinheiten (Millionen), Cache-Speichergröße (GB) (Keine), WebSocket-Nachrichteneinheiten (Tausende), HTTP-API-Anforderungseinheiten (Millionen), Durchschnittliche Größe jeder Anforderung (34 KB), Durchschnittliche Nachrichtengröße (32 KB), Anforderungen (100 pro Monat), Anforderungen (1 pro Monat), Nachrichten (0 pro Sekunde)"
My Estimate,USA Ost (Nord-Virginia),,Amazon RDS for MySQL,0,4104.14,49249.68,USD,,"Speicher für jede RDS-Instance (Allzweck-SSD (gp2)), Speichermenge (4 TB), Anzahl (2), Instance-Typ (db.m5.2xlarge), Auslastung (nur On-Demand) (100 %Utilized/Month), Bereitstellungsoption (Multi-AZ), Preismodell (OnDemand), Zusätzlicher Backup-Speicher (500 GB)"
My Estimate,USA Ost (Nord-Virginia),,AWS Lambda,0,354.53999999999996,4254.48,USD,,"Aufrufmodus (Gepuffert), Architektur (Arm), Architektur (Arm), Gleichzeitigkeit (25000), Zeit, für die bereitgestellte Gleichzeitigkeit aktiviert ist (1 Stunden), Anzahl der Anforderungen (100000000 pro Monat), Anzahl der Anforderungen für bereitgestellte Gleichzeitigkeit (25000 pro Monat), Menge des flüchtigen zugewiesenen Speichers (1 GB)"



Bestätigung
"* Der AWS Pricing Calculator gibt nur einen Überblick über Ihre AWS-Gebühren und enthält keine anfallenden Steuern. Ihre tatsächlichen Gebühren hängen von einer Vielzahl von Faktoren ab, einschließlich Ihrer tatsächlichen Nutzung der AWS-Services."
